City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
256,ikwiriri,-7.9562,38.9716,69.96,82,23,2.01,TZ,1687842737
257,new plymouth,-39.0667,174.0833,55.81,90,67,10.78,NZ,1687842508
258,hithadhoo,-0.6,73.0833,82.36,75,100,9.15,MV,1687842738
259,daru,-9.0763,143.2092,80.51,82,93,15.95,PG,1687842160
260,buncrana,55.1333,-7.45,56.97,95,100,13.44,IE,1687842738
261,santa fe de antioquia,6.5569,-75.8281,71.01,96,93,1.41,CO,1687842738
262,morondava,-20.2833,44.2833,65.32,41,0,7.45,MG,1687842739
263,impfondo,1.6381,18.0667,69.98,99,84,2.37,CG,1687842739
264,hami,42.8,93.45,80.94,23,1,6.93,CN,1687842739
265,colonia,50.9333,6.95,61.97,75,0,1.14,DE,1687842739
266,yelizovo,53.1873,158.3805,77.14,53,0,11.18,RU,1687842740
267,east london,-33.0153,27.9116,60.13,88,100,19.89,ZA,1687842583
268,levuka,50.1834,-105.4011,65.91,59,35,4.9,CA,1687842740
269,nuuk,64.1835,-51.7216,41.61,87,100,21.85,GL,1687842740
270,talnakh,69.4865,88.3972,61.21,42,97,4.25,RU,1687842731
271,leua,48.2156,18.6071,63.7,87,96,5.68,SK,1687842741
272,guiberoua,6.2392,-6.1727,66.97,99,90,2.42,CI,1687842678
273,guerrero negro,27.9769,-114.0611,63.25,81,0,16.89,MX,1687842166
274,kailua-kona,19.6406,-155.9956,84.16,69,75,10.36,US,1687842168
275,mamuju,-2.6748,118.8885,85.1,73,34,5.95,ID,1687842742
276,kampene,-3.6,26.6667,68.58,91,11,1.32,CD,1687842742
277,rouissat,31.9243,5.3502,84.27,37,0,5.75,DZ,1687842742
278,turbo,8.0937,-76.7269,76.57,90,100,1.74,CO,1687842742
279,biltine,14.5333,20.9167,85.35,45,34,7.27,TD,1687842743
280,sungailiat,-1.85,106.1333,84.94,70,52,9.04,ID,1687842743
281,mount pleasant,32.7941,-79.8626,83.05,76,40,18.41,US,1687842456
282,cooper's town,26.8667,-77.5167,81.32,83,1,13.51,BS,1687842677
283,san fernando,15.0286,120.6898,92.41,52,96,3.31,PH,1687842744
284,port macquarie,-31.4333,152.9167,61.9,46,3,6.4,AU,1687842710
285,richards bay,-28.783,32.0377,60.71,91,2,4.79,ZA,1687842744
